ORG,SPACE,APPLICATION,STATE,INSTANCES,MEMORY,DISK
sandbox,lots-of-apps,testApp074,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp075,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp076,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp077,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp078,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp079,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp080,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp081,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp082,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp083,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp084,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp085,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp086,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp087,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp088,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp089,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp090,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp091,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp092,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp093,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp094,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp095,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp096,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp097,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp098,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp099,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp100,STARTED,1,10 MB,10 MB
dr,lab,examplea,STARTED,2,1024 MB,1024 MB
dr,lab,exampleb,STARTED,1,1024 MB,1024 MB
